COMUNE;INDIRIZZO;CAP;TELEFONO;EMAIL;PEC;WEB;SINDACO;Anno elezione
AFFI;via della Repubblica, 9;37010;045 7235411;servizi@comune.affi.vr.it;protocollo@pec.comune.affi.vr.it;www.comune.affi.vr.it;Marco Giacomo Sega;2021
'ALBAREDO D''ADIGE';piazza Vittorio Emanuele, 1;37041;045 6608075;urp@comune.albaredodadige.vr.it;protocollo.albaredodadige@pec.it;www.comune.albaredodadige.vr.it;Giovanni Ruta;2020
ANGIARI;piazza Municipio, 441;37050;0442 97007;protocollo@comune.angiari.vr.it;protocollo.angiari@legalmail.it;www.comune.angiari.vr.it;Fabrizio Bissoli;2024
ARCOLE;piazza Marconi 1;37040;045 7639611;segreteria@comune.arcole.vr.it;arcole.vr@cert.ip-veneto.net;www.comunediarcole.it;Alessandro Ceretta;2021
BADIA CALAVENA;piazza Mercato, 1;37030;045 7810503 / 685;protocollo@comune.badiacalavena.vr.it;comune.badiacalavena@pec.it;www.comune.badiacalavena.vr.it;Francesco Valdegamberi;2021
BARDOLINO;piazza San Gervaso, 1;37011;045 6213210;comune.urp@comune.bardolino.vr.it;comune.bardolino@legalmail.it;www.comune.bardolino.vr.it;Daniele Bertasi;2024
BELFIORE;piazza della Repubblica, 10;37050;045 6145011;segreteria@comune.belfiore.vr.it;belfiore.vr@pec.wmail.it;www.comune.belfiore.vr.it;Alessio Albertini;2021
BEVILACQUA;via Roma, 264;37040;0442 647211;segreteria@comune.bevilacqua.vr.it;segreteria.bevilacqua@pec.comune.bevilacqua.vr.it;www.comune.bevilacqua.vr.it;Valentino Girlanda;2021
BONAVIGO;Piazza Aquilina Lugo, 26;37040;0442 73010;info@comune.bonavigo.vr.it;protocollo@pec.comune.bonavigo.vr.it;www.comune.bonavigo.vr.it;Ermanno Gobbi;2020
'BOSCHI SANT''ANNA';'piazza Sant''Anna, 31';37040;0442 99133 / 468;info@comune.boschisantanna.vr.it;protocollo@pec.comune.boschisantanna.vr.it;www.comune.boschisantanna.vr.it;Enrico Occhiali;2024
BOSCO CHIESANUOVA;piazza Chiesa, 35;37021;045 7050022;info@comune.boscochiesanuova.vr.it;boscochiesanuova@pec.aruba.it;www.comune.boscochiesanuova.vr.it;Claudio Melotti;2024
BOVOLONE;piazza Scipioni, 1;37051;045 6995111;info@comune.bovolone.vr.it;protocollo@pec.comune.bovolone.vr.it;www.comune.bovolone.vr.it;Orfeo Pozzani;2021
BRENTINO BELLUNO;piazza Zefferino Gelmetti, 1;37020;045 6284062;anagrafe@comune.brentino.vr.it;comune.brentinobelluno@pec.it;www.comune.brentino.vr.it;Massimo Zanga;2024
BRENZONE SUL GARDA;via XX Settembre, 8;37010;045 6589500;protocollo@comune.brenzone.vr.it;brenzone.vr@cert.ip-veneto.net;www.comune.brenzone.vr.it;Paolo Formaggioni;2024
BUSSOLENGO;piazza Nuova, 14;37012;045 6769946;segreteria@comune.bussolengo.vr.it;comune.bussolengo@cert.legalmail.it;www.comune.bussolengo.vr.it;Roberto Brizzi;2023
BUTTAPIETRA;piazza Novembre, 1;37060;045 6660477 / 383;segreteria@comune.buttapietra.vr.it;comune.buttapietra@halleycert.it;www.comune.buttapietra.vr.it;Sara Moretto;2021
CALDIERO;piazza Olinto Marcolungo, 19;37042;045 7650023;segreteria@comune.caldiero.vr.it;protocollogenerale@pec.comune.caldiero.vr.it;www.comune.caldiero.vr.it;Marcello Lovato;2022
CAPRINO VERONESE;piazza Roma, 6;37013;045 6209911;segreteria@comune.caprinoveronese.vr.it;comune.caprinoveronese.vr@pecveneto.it;www.comune.caprinoveronese.vr.it;Giuseppe Adami;2024
CASALEONE;via Vittorio Veneto, 61;37052;0442 328711;protocollo@comune.casaleone.vr.it;segreteria.comune.casaleone.vr@pecveneto.it;www.comune.casaleone.vr.it;Stefano Cagalli;2022
CASTAGNARO;via Dante Alighieri, 210;37043;0442 682813;segreteria@comunedicastagnaro.it;castagnaro.vr@cert.ip-veneto.net;www.comunedicastagnaro.it;Christian Formigaro;2021
'CASTEL D''AZZANO';via Castello, 26;37060;045 9215911;info@comune.castel-d-azzano.vr.it;casteldazzano@legalmail.it;www.comune.castel-d-azzano.vr.it;Elena Guadagnini;2023
CASTELNUOVO DEL GARDA;piazza degli Alpini, 4;37014;045 6459920;protocollo@castelnuovodg.it;castelnuovodg@legalmail.it;www.comune.castelnuovodelgarda.vr.it;Davide Sandrini;2024
CAVAION VERONESE;piazza Fracastoro, 8;37010;045 6265711;protocollo@comunecavaion.it;segreteria@pec.comunecavaion.it;www.comunecavaion.it;Sabrina Tramonte;2024
CAZZANO DI TRAMIGNA;piazza G. Matteotti, 1;37030;045 7820506;segreteria@comune.cazzanoditramigna.vr.it;comune.cazzanoditramigna.vr@pecveneto.it;www.comune.cazzanoditramigna.vr.it;Maria Luisa Guadin;2022
CEREA;via XXV Aprile, 52;37053;0442 80055;info@cerea.net;comunecerea@halleypec.it;www.cerea.net;Marco Franzoni;2022
